severity,check,series_id,game_id,round_id,source_subset,map_name,round_num,ct_score,t_score,ct_alive,t_alive,ct_rifles,t_rifles,ct_grenades,t_grenades,ct_win
info,round_without_valid_kill,47cef15a-cf52-476e-afba-abe0c33843f9,lan:14a591ab-c86c-468b-a461-274d8e036ca0,lan:14a591ab-c86c-468b-a461-274d8e036ca0_3,lan,de_nuke,3,0,2,5,5,0,4,1,17,0
info,round_without_valid_kill,d5f66ed2-0f17-4670-90a1-94859fbaf11e,lan:156ccd75-43c9-4df7-b774-42819b6b348d,lan:156ccd75-43c9-4df7-b774-42819b6b348d_20,lan,de_ancient,20,9,10,5,5,5,5,8,13,0
info,round_without_valid_kill,7c751bbc-15d2-432d-8022-5751f554a8c4,lan:184193fa-4d04-4791-b343-712a6ad3e3c2,lan:184193fa-4d04-4791-b343-712a6ad3e3c2_23,lan,de_inferno,23,9,13,5,5,2,4,6,17,0
info,round_without_valid_kill,bf0137f8-5d56-4a78-9f72-f081860fb8c4,lan:1d45da19-1c91-4ff4-8244-583654069002,lan:1d45da19-1c91-4ff4-8244-583654069002_2,lan,de_ancient,2,0,1,5,5,0,4,0,11,0
info,round_without_valid_kill,149cfad5-4f28-40ac-b011-85a8182d45ef,lan:336e64df-d5b8-492e-b53a-6533c121e4dd,lan:336e64df-d5b8-492e-b53a-6533c121e4dd_2,lan,de_vertigo,2,0,1,5,5,0,4,8,11,0
info,round_without_valid_kill,45f0e17b-7df5-44d6-80e6-f8652f75f0eb,lan:4e2c0d2f-a010-43dc-a2c9-4567b6d17949,lan:4e2c0d2f-a010-43dc-a2c9-4567b6d17949_17,lan,de_nuke,17,11,5,5,5,0,5,4,13,0
info,round_without_valid_kill,203fd826-fb19-4585-94f9-495e0324e818,lan:4fe06b2c-7fb4-48cf-a0e6-c7c8ecb877fd,lan:4fe06b2c-7fb4-48cf-a0e6-c7c8ecb877fd_2,lan,de_inferno,2,0,1,5,5,0,1,10,16,0
info,round_without_valid_kill,8e945423-8029-472f-991f-075e8cea3821,lan:56546a32-7393-4a0e-ad60-ee4d6db8b1da,lan:56546a32-7393-4a0e-ad60-ee4d6db8b1da_23,lan,de_overpass,23,10,12,5,5,2,4,4,17,0
info,round_without_valid_kill,b9e6964c-9dc2-4d86-9a6b-be7cff8a039a,lan:8456c207-231b-47d0-9554-cf64f0a2f18b,lan:8456c207-231b-47d0-9554-cf64f0a2f18b_6,lan,de_vertigo,6,4,1,5,5,4,4,11,16,0
info,round_without_valid_kill,e48b8648-3e01-45c3-989a-e46c3b52d2be,lan:8625e8a2-246f-49b1-b790-90a9eaa31174,lan:8625e8a2-246f-49b1-b790-90a9eaa31174_2,lan,de_ancient,2,0,1,5,5,0,4,5,13,0
info,round_without_valid_kill,d30d4c91-6001-47c4-9907-7d99f583b257,lan:97a87d81-3e8b-4555-a974-b60a6d38756d,lan:97a87d81-3e8b-4555-a974-b60a6d38756d_2,lan,de_ancient,2,0,1,5,5,0,4,6,13,0
info,round_without_valid_kill,6b4e0aaa-1529-4efe-871d-a97841a01bbf,lan:9fcf0c33-f589-4924-a0f3-024aa936705a,lan:9fcf0c33-f589-4924-a0f3-024aa936705a_19,lan,de_inferno,19,5,13,5,5,0,4,2,20,0
