feature,group,included,reason
map_name,context,True,accepted_M14_purchase_end_feature
round_num,context,True,accepted_M14_purchase_end_feature
ct_score,score,True,accepted_M14_purchase_end_feature
t_score,score,True,accepted_M14_purchase_end_feature
score_diff_ct,score,True,accepted_M14_purchase_end_feature
ct_eq_value,economy,True,accepted_M14_purchase_end_feature
t_eq_value,economy,True,accepted_M14_purchase_end_feature
eq_value_diff_ct,economy,True,accepted_M14_purchase_end_feature
ct_cash,economy,True,accepted_M14_purchase_end_feature
t_cash,economy,True,accepted_M14_purchase_end_feature
cash_diff_ct,economy,True,accepted_M14_purchase_end_feature
ct_armor,armor_utility,True,accepted_M14_purchase_end_feature
t_armor,armor_utility,True,accepted_M14_purchase_end_feature
armor_diff_ct,armor_utility,True,accepted_M14_purchase_end_feature
ct_helmets,armor_utility,True,accepted_M14_purchase_end_feature
t_helmets,armor_utility,True,accepted_M14_purchase_end_feature
helmet_diff_ct,armor_utility,True,accepted_M14_purchase_end_feature
ct_defuse_kits,armor_utility,True,accepted_M14_purchase_end_feature
ct_grenades,armor_utility,True,accepted_M14_purchase_end_feature
t_grenades,armor_utility,True,accepted_M14_purchase_end_feature
grenade_diff_ct,armor_utility,True,accepted_M14_purchase_end_feature
ct_ak47,weapons,True,accepted_M14_purchase_end_feature
t_ak47,weapons,True,accepted_M14_purchase_end_feature
ct_m4a4,weapons,True,accepted_M14_purchase_end_feature
t_m4a4,weapons,True,accepted_M14_purchase_end_feature
ct_m4a1_s,weapons,True,accepted_M14_purchase_end_feature
t_m4a1_s,weapons,True,accepted_M14_purchase_end_feature
ct_awp,weapons,True,accepted_M14_purchase_end_feature
t_awp,weapons,True,accepted_M14_purchase_end_feature
awp_diff_ct,weapons,True,accepted_M14_purchase_end_feature
ct_rifles,weapons,True,accepted_M14_purchase_end_feature
t_rifles,weapons,True,accepted_M14_purchase_end_feature
rifle_diff_ct,weapons,True,accepted_M14_purchase_end_feature
ct_smgs,weapons,True,accepted_M14_purchase_end_feature
t_smgs,weapons,True,accepted_M14_purchase_end_feature
smg_diff_ct,weapons,True,accepted_M14_purchase_end_feature
