series_id,game_id,round_id,y_true,ct_win_probability,predicted_label,ct_win,map_name,round_num,eq_value_diff_ct,first_kill_time,first_kill_advantage_ct,first_kill_weapon,first_kill_headshot,source_subset,round_stage,equipment_band,first_kill_time_band,first_kill_weapon_family,first_kill_side,first_kill_headshot_label,t_win_probability,correct,assigned_side_probability,predicted_side,actual_winner,signal_pattern
90da2c53-5a02-4f16-8abe-f2235da5ffbd,online:478d378e-e7c1-4d64-a3f3-679ee18f27b5,online:478d378e-e7c1-4d64-a3f3-679ee18f27b5_17,0,0.9898388852132408,1,0,de_nuke,17,18150,28.6953125,1,MP9,1,online,middle_11_20,ct_major,normal_15_30,smg_shotgun,CT,headshot,0.010161114786759184,False,0.9898388852132408,CT,T,first_kill_and_equipment_agree
63e0d98d-fd95-4698-9d12-808508005ee2,online:1f4b1506-6f45-43ee-8b4c-82961eb4bd5b,online:1f4b1506-6f45-43ee-8b4c-82961eb4bd5b_2,0,0.9850853412982188,1,0,de_vertigo,2,18850,56.171875,1,MP9,0,online,early_01_10,ct_major,late_30_60,smg_shotgun,CT,non_headshot,0.014914658701781214,False,0.9850853412982188,CT,T,first_kill_and_equipment_agree
47cef15a-cf52-476e-afba-abe0c33843f9,lan:2a99d649-c6bb-4f90-8f2c-664b7738a2d9,lan:2a99d649-c6bb-4f90-8f2c-664b7738a2d9_6,0,0.9798280568781189,1,0,de_ancient,6,29150,27.328125,1,AK-47,0,lan,early_01_10,ct_major,normal_15_30,rifle,CT,non_headshot,0.020171943121881086,False,0.9798280568781189,CT,T,first_kill_and_equipment_agree
0f222f22-1d61-48c7-92a7-0578174959ba,online:6f87123d-f8ab-4b80-94fb-83afdb2632f9,online:6f87123d-f8ab-4b80-94fb-83afdb2632f9_7,1,0.025739481021836118,0,1,de_mirage,7,-24600,42.74803149606299,-1,AK-47,0,online,early_01_10,t_major,late_30_60,rifle,T,non_headshot,0.9742605189781639,False,0.9742605189781639,T,CT,first_kill_and_equipment_agree
c7f0e145-6303-40e6-9b79-ab0f825db57d,online:ba19b05b-3103-4cbd-9f57-41d222f71770,online:ba19b05b-3103-4cbd-9f57-41d222f71770_28,1,0.04117142243150495,0,1,de_inferno,28,-19750,19.3671875,-1,AK-47,1,online,late_21_plus,t_major,normal_15_30,rifle,T,headshot,0.958828577568495,False,0.958828577568495,T,CT,first_kill_and_equipment_agree
a997b20a-a1e1-4c8f-9624-8aa733a72ded,online:8a024690-6636-4b94-8211-683c104f6d84,online:8a024690-6636-4b94-8211-683c104f6d84_22,1,0.04882340453219808,0,1,de_vertigo,22,-25100,13.671875,-1,AWP,0,online,late_21_plus,t_major,fast_00_15,sniper,T,non_headshot,0.951176595467802,False,0.951176595467802,T,CT,first_kill_and_equipment_agree
8c516ddf-4403-4eaa-a17d-44a9feae80f5,lan:9337dadd-c577-4043-a280-4c3b1f70c400,lan:9337dadd-c577-4043-a280-4c3b1f70c400_11,1,0.06379603419730419,0,1,de_mirage,11,-23500,22.3984375,-1,AK-47,0,lan,middle_11_20,t_major,normal_15_30,rifle,T,non_headshot,0.9362039658026958,False,0.9362039658026958,T,CT,first_kill_and_equipment_agree
747526c1-f423-435f-8941-8064849b1c57,online:34525ebe-5474-46a4-9eda-3b5dc358314d,online:34525ebe-5474-46a4-9eda-3b5dc358314d_26,0,0.932921219874932,1,0,de_overpass,26,26950,52.48031496062992,1,AWP,0,online,late_21_plus,ct_major,late_30_60,sniper,CT,non_headshot,0.06707878012506796,False,0.932921219874932,CT,T,first_kill_and_equipment_agree
c061918a-87ee-477d-afcc-12dab5a769ae,online:1eedeeca-4400-41a5-a861-22e88435b473,online:1eedeeca-4400-41a5-a861-22e88435b473_6,1,0.07888657706088784,0,1,de_train,6,-21700,15.433070866141732,-1,AK-47,0,online,early_01_10,t_major,normal_15_30,rifle,T,non_headshot,0.9211134229391121,False,0.9211134229391121,T,CT,first_kill_and_equipment_agree
bb7fb8a7-1a8b-4990-bb6b-b42109cb3259,online:d02539dd-8ef5-4f24-a1ca-c1c39d93e0e9,online:d02539dd-8ef5-4f24-a1ca-c1c39d93e0e9_19,0,0.9194652411330768,1,0,de_mirage,19,26450,53.023622047244096,1,AK-47,1,online,middle_11_20,ct_major,late_30_60,rifle,CT,headshot,0.08053475886692318,False,0.9194652411330768,CT,T,first_kill_and_equipment_agree
