series_id,split,game_count,round_count,ct_win_rate
0072d9d0-a907-44c2-a9c8-7f036e55333d,train,2,55,0.38181818181818183
008f833c-52f7-46c8-9d05-6d0da9671aef,train,2,45,0.4444444444444444
00f45642-5cd0-4c29-bdff-b14c73f27220,train,3,81,0.5308641975308642
027bbc51-ea95-4a1c-8f13-d23b43705720,train,2,49,0.5102040816326531
0337e68e-ba70-43e2-9a1c-192cdd3ac7ae,train,1,25,0.44
034fcba6-595e-4860-8df8-8ae04ee154ad,val,1,23,0.43478260869565216
035bfeb7-396b-4c48-b2aa-5f002c44b7c2,train,1,30,0.5
046cdf91-97ab-4b8b-b19e-4c17ba3aa129,train,1,25,0.36
053f4342-777b-4785-83f8-e0ab73ac8916,train,2,48,0.375
06019fc7-49f7-43a5-885a-7f3a336bec87,val,3,78,0.6282051282051282
0657c9fd-a475-4257-8879-265fdbfd59b0,train,2,46,0.5217391304347826
070d18c2-93a2-4e4c-8642-ba658276229f,train,1,30,0.6333333333333333
0839a031-0e2c-4c03-b4bc-b5ba05fe669a,train,3,81,0.5925925925925926
0934df11-98f8-4cc2-bb87-d156db05bfbf,train,3,83,0.5542168674698795
094cae55-e4c2-4c54-ad8c-0b1f846d0068,train,3,79,0.6455696202531646
09587bb8-336d-47ea-bc96-024ced04a307,train,2,57,0.49122807017543857
0a075b4d-576e-46f2-b944-fe9542faee54,train,2,55,0.509090909090909
0ae78b8c-ff38-49c9-8291-1bf11062db67,train,3,89,0.6067415730337079
0b29ad33-e73c-40fe-89a9-096e63cbe796,train,1,21,0.5714285714285714
0b4d23d8-89cb-4503-af82-0a3312200e40,train,2,45,0.5777777777777777
0bd8cfea-fe22-4edb-bfba-de610bf0faba,train,3,79,0.6708860759493671
0be2bcc1-46ec-483d-8698-644b3eec6ea9,train,2,53,0.5660377358490566
0c0e9b95-be5b-4ff6-865f-141d714baa5c,test,2,50,0.46
0c8c7332-6a51-4e15-8eff-12a8e3634c40,train,3,69,0.6376811594202898
0e935de8-a515-42c7-8216-fc438a31c3d1,val,1,29,0.5172413793103449
0eca2b24-76af-4a9f-8f33-1d4f67594900,train,3,79,0.4810126582278481
0ed3b2eb-5e2f-4529-8c9d-89fb41ee2f7c,val,3,73,0.4794520547945205
0f222f22-1d61-48c7-92a7-0578174959ba,test,2,58,0.5
0fd23068-c5bf-4ec9-8ae2-4c4a901bda5b,train,1,22,0.5909090909090909
103e74a8-5332-44f1-81a4-f28d63b1bce9,test,1,25,0.64
108270d6-ef2b-4f10-b532-986ebd1ef4cc,train,2,51,0.5882352941176471
11d7b1bf-27d9-4656-af08-b23dd1b93dea,test,1,23,0.5652173913043478
11dc3afb-4960-492a-ab7c-54c2b7e4ff99,val,3,86,0.5348837209302325
