series_id,split
0c0e9b95-be5b-4ff6-865f-141d714baa5c,test
0f222f22-1d61-48c7-92a7-0578174959ba,test
103e74a8-5332-44f1-81a4-f28d63b1bce9,test
11d7b1bf-27d9-4656-af08-b23dd1b93dea,test
13a79b19-9cfa-4e70-ac0e-c9e9e61d66da,test
15a7381f-9702-4a37-8a26-aa83969fe385,test
15a7cd5c-2104-42cd-bac4-eae9d1083d19,test
19bf268e-607c-4425-8aab-0cbe198578a2,test
1cb8b01a-f11e-4ef3-954d-5ce809b57506,test
1d78bfe0-e598-4a95-b5c0-2227e976dc5d,test
1d9ba8f4-06c5-4625-95e4-db3222447959,test
212c63aa-15f9-44e0-94f3-53d43be53c10,test
28c6914e-e018-4d50-82f0-84082ae40d60,test
33b018e0-5577-40ef-b06b-08f41e7a0d4f,test
340b3097-22a6-4697-bc94-c545fd0c715f,test
343edef3-916d-4f85-93b4-3b32c0c70d00,test
37c8eb9f-890d-4035-a659-44911641213b,test
3fdfe442-5a69-41bf-af87-69fccfafab9c,test
47cef15a-cf52-476e-afba-abe0c33843f9,test
489338c2-71c4-4d7b-90f2-cb124986bd4b,test
48fb8ae5-5342-44cc-bfc5-8957068d565e,test
4a71cdc5-d58e-464b-8d0d-fa5fa7c80762,test
531030c2-4aff-4456-bfc1-cb7580881fda,test
53a0fb0a-ab1f-46ab-959b-2244a711db8b,test
57d599be-a66b-4b05-8c92-944005b5ce6a,test
58e04be8-d9d5-4031-adda-bec6a4af79b9,test
5a4c75ca-ed01-4d01-8d2c-97409a9f5113,test
63e0d98d-fd95-4698-9d12-808508005ee2,test
641fd7e4-544b-4e92-8d2b-536a5825376c,test
689b4e82-473b-4e35-a0c8-e23edc2dbb23,test
68bb7414-29fc-44bb-b5ef-f0d079aa2b16,test
6a2d54ef-429f-4236-9501-60e7549f32ce,test
6b03b89b-48dd-48bb-a30e-19a1ad5c2163,test
747526c1-f423-435f-8941-8064849b1c57,test
7661436d-fb0d-44ba-859a-02946733736c,test
79e16b64-6722-4b8d-b38a-95463d6315b9,test
8082f038-999c-4cc0-9219-e4f2f47737d1,test
85287401-1b17-44d6-8062-4376ffe0f057,test
891751f3-228c-453e-8a36-b67ee9340cbd,test
8a622cf9-a603-4607-b190-d1184870a620,test
8c516ddf-4403-4eaa-a17d-44a9feae80f5,test
8ddb1672-ae23-4ad0-b41b-25add199cd3b,test
8f722ee5-ae05-43ce-abf5-46fcf3a0548c,test
8fadbb13-3728-4211-b0eb-cd4075a60218,test
90da2c53-5a02-4f16-8abe-f2235da5ffbd,test
9fd865ed-83a5-4e92-9886-17ac876218d2,test
a33321e1-17fb-4b61-b3b6-f07e25483184,test
a7c08561-b718-493f-bb11-bf76aa1a221c,test
a997b20a-a1e1-4c8f-9624-8aa733a72ded,test
aa33f63d-4944-4cc5-94d7-4acfd370ac4a,test
aca4acfc-efb2-4552-a503-2284be8c2a5f,test
af3b36e5-3abf-4ba2-8513-786e06f2adb2,test
b8566664-9c5c-44da-bf94-eba8dfbac067,test
bb7fb8a7-1a8b-4990-bb6b-b42109cb3259,test
bc33710d-1499-4a28-b981-ad5b0eb061a1,test
bdada140-b48c-4be0-93c3-ce2cd7973eed,test
be095e82-910f-4359-9faa-5210cf91770b,test
c061918a-87ee-477d-afcc-12dab5a769ae,test
c7f0e145-6303-40e6-9b79-ab0f825db57d,test
c9feb32c-ed8d-46a9-b620-380f6dfff501,test
cd39478e-f125-44c7-bdeb-90ba52fed8a3,test
cd40eb9a-73ab-4f8f-ae7e-ef5716689a1d,test
cd7ea961-f31f-4c4c-9e6a-c2581b76f36e,test
e0bf3c83-af14-4f74-aa93-827dc28d9c11,test
e1c9c5ad-216e-4674-8c5f-695866d5401d,test
e30a03a0-3bba-4e02-9322-a553d9560d10,test
ead598ea-5dcf-4eeb-84dc-ffe300c8f3f6,test
ec1dc0d0-6a67-4ac6-b3d2-dd309d93ca66,test
ed5542a8-e1b4-46e8-9576-a3cc7172e10d,test
f0c01bf0-17ea-45a3-a5c5-f50269a1cefb,test
f107e704-85f7-44aa-9a35-ad7ac601c4d2,test
f49655fa-ebda-437d-baeb-968916e23088,test
f6a2e8b5-8787-4353-8ba7-8d6f3619ef8a,test
f7282b88-c653-4ce5-b4b6-8a2963548662,test
f781e3b8-ad9d-45c3-a0cf-286fb5a06923,test
f9f86156-544c-4b95-b4ca-cb5b33386198,test
fcf03079-9f8a-4038-80cb-df9fa0547e67,test
fe19fbd9-80ab-4a38-9a06-31e9cbbded02,test
ffa461c3-e698-46a0-955c-bbc4d4369210,test
0072d9d0-a907-44c2-a9c8-7f036e55333d,train
008f833c-52f7-46c8-9d05-6d0da9671aef,train
00f45642-5cd0-4c29-bdff-b14c73f27220,train
027bbc51-ea95-4a1c-8f13-d23b43705720,train
0337e68e-ba70-43e2-9a1c-192cdd3ac7ae,train
035bfeb7-396b-4c48-b2aa-5f002c44b7c2,train
046cdf91-97ab-4b8b-b19e-4c17ba3aa129,train
053f4342-777b-4785-83f8-e0ab73ac8916,train
0657c9fd-a475-4257-8879-265fdbfd59b0,train
070d18c2-93a2-4e4c-8642-ba658276229f,train
